simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,simulation_100,simulation_101
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
110.246,110.133,113.954,106.91,108.949,112.653,108.801,106.022,107.397,109.807,109.704,104.54,110.525,105.447,110.38,113.011,108.673,109.483,111.444,114.016,110.051,104.972,108.179,112.878,112.724,109.669,104.863,106.304,112.691,113.343,116.245,108.717,113.023,110.413,111.04,103.683,110.341,115.029,111.792,109.923,109.679,111.514,105.874,110.008,107.952,109.517,107.66,112.094,113.353,104.452,114.754,109.614,108.015,108.021,112.221,109.199,111.71,111.267,110.807,107.393,107.253,114.106,108.132,115.852,110.739,112.095,109.195,111.966,109.012,111.622,105.452,111.939,109.569,107.131,110.039,107.454,110.463,106.805,113.505,111.455,109.677,111.189,109.955,111.362,113.254,106.847,108.55,112.877,114.049,108.754,106.391,107.873,110.242,108.524,108.154,107.676,111.683,110.832,109.464,108.244,112.952
115.12,113.063,111.851,107.518,106.857,112.803,113.088,104.573,111.66,109.193,113.818,107.229,111.559,87.0602,105.971,111.777,106.755,112.028,110.016,114.299,111.757,107.322,109.807,114.011,115.141,104.928,106.866,108.727,110.95,115.171,112.501,110.383,110.65,106.754,109.552,103.116,109.554,110.917,113.002,112.215,109.476,113.713,105.697,111.587,108.065,112.771,108.426,113.057,117.747,106.908,116.424,110.006,108.618,108.433,111.2,115.885,108.682,111.292,110.34,111.765,107.514,115.358,107.487,116.668,110.133,112.237,109.166,113.619,112.401,109.08,103.745,114.086,111.902,105.455,111.497,109.539,103.148,108.837,110.262,114.144,110.117,110.995,112.605,117.946,117.408,107.416,113.432,109.283,112.49,108.211,106.937,109.12,112.722,107.786,107.441,108.003,111.93,110.895,109.335,109.36,111.066
107.53,109.86,107.398,105.519,102.439,114.834,113.869,105.705,112.02,114.082,113.315,103.022,114.167,0,105.449,111.407,112.365,114.018,106.513,111.025,113.198,111.739,111.428,112.126,111.31,107.546,106.588,108.339,115.215,111.7,112.237,107.565,107.504,107.792,109.971,101.864,108.936,111.643,112.479,114.528,112.163,111.829,108.378,113.288,105.77,112.32,107.091,112.393,113.806,106.899,120.652,108.014,110.665,111.888,112.844,116.541,115.974,108.756,109.714,111.174,110.154,114.481,108.46,118.982,106.648,112.945,111.592,110.847,113.691,108.193,105.03,113.286,110.911,106.156,111.855,109.593,103.22,103.764,109.69,113.884,107.934,114.63,115.234,115.096,113.676,106.804,113.748,108.267,112.025,107.45,104.987,111.919,108.6,109.893,108.722,105.022,113.087,108.554,109.617,109.525,112.611
108.066,107.84,106.114,106.41,100.542,111.035,116.52,108.898,112.688,112.468,116.981,102.673,109.138,0,107.707,107.726,107.099,112.336,103.898,111.812,114.493,111.452,111.038,115.156,114.279,106.928,105.621,108.653,108.282,111.424,114.861,103.089,109.178,107.068,109.688,102.092,110.869,108.026,113.725,113.457,114.591,115.031,106.858,117.15,101.504,111.349,107.304,111.322,114.755,107.813,119.766,104.061,108.969,110.173,111.658,116.879,113.83,110.46,110.736,112.407,109.263,118.565,109.569,117.614,106.486,110.97,109.329,112.023,110.552,106.716,104.399,111.981,110.458,107.248,112.346,112.159,104.728,103.163,105.221,111.585,106.194,113.468,112.055,111.336,116.11,108.052,109.893,107.962,115.918,110.47,87.9992,110.124,110.363,106.425,107.896,108.974,115.838,109.93,111.74,108.802,112.455
109.595,112.3,109.299,107.795,101.269,116.132,120.786,108.048,113.825,113.304,116.342,102.671,109.484,0,112.819,109.373,108.39,113.974,108.161,114.665,110.574,114.277,114.38,117.539,110.815,109.088,107.467,109.93,108.08,112.667,119.829,106.644,103.67,105.649,115.233,104.406,112.017,91.5625,115.327,112.829,114.971,112.419,107.331,112.506,102.017,112.126,107.113,107.931,117.409,106.302,118.704,104.893,112.528,111.051,110.408,117.633,117.275,115.633,111.397,112.281,106.489,118.954,112.203,116.093,109.651,108.672,109.959,112.287,109.142,109.439,105.296,112.752,105.62,107.907,115.55,110.493,107.182,100.997,108.848,108.738,102.241,113.32,113.274,114.143,118.639,107.32,109.637,108.784,113.401,105.624,0,108.521,108.842,104.422,108.48,113.338,116.426,106.741,111.643,107.215,114.167
110.512,112.029,110.684,105.176,87.0523,116.751,117.208,105.903,111.794,114.157,115.947,103.182,108.2,0,112.035,112.563,110.808,114.77,108.347,113.655,110.311,111.237,113.684,116.535,113.61,111.984,109.788,113.437,108.493,111.441,117.185,87.9444,86.5757,103.04,112.651,107.089,111.347,0,118.309,115.351,117.054,113.417,104.185,113.601,103.328,113.417,108.922,108.45,113.535,103.745,117.701,104.872,111.825,110.694,104.89,116.948,117.927,112.396,112.341,112.153,109.445,118.96,110.784,110.87,108.741,105.758,114.916,114.665,110.638,110.028,105.618,115.176,107.211,109.823,115.78,110.494,108.658,100.723,113.263,110.085,102.653,111.81,113.778,118.616,118.497,103.295,108.23,108.936,112.731,108.385,0,110.731,109.713,104.74,109.85,113.793,116.697,106.183,111.275,102.817,107.883
113.048,112.113,111.201,105.42,0,119.196,116.742,104.647,118.279,111.218,114.558,104.882,109.934,0,107.699,111.374,111.308,115.308,108.324,113.068,112.923,113.178,113.182,114.212,109.951,114.073,107.182,113.629,109.333,109.982,111.267,0,0,103.115,112.423,108.877,111.828,0,118.26,113.996,115.492,112.71,108.502,116.03,104.156,111.734,111.079,104.657,116.688,101.264,121.56,106.357,113.367,110.49,105.926,111.75,118.14,114.743,111.611,110.055,111.614,122.07,112.949,112.293,107.21,103.717,109.713,120.23,110.516,114.628,103.443,116.409,106.154,110.425,114.974,112.162,110.247,85.2401,111.851,108.664,105.022,110.787,114.93,115.714,120.472,103.813,107.953,106.118,118.336,107.908,0,116.831,112.82,108.682,109.003,111.606,115.004,108.138,114.146,103.346,113.035
114.515,111.912,113.913,106.487,0,119.673,120.962,86.9748,118.605,107.807,118.168,107.308,114.329,0,104.617,111.561,110.012,109.555,105.333,118.343,109.014,107.73,113.119,116.274,110.222,113.645,107.29,118.051,107.549,112.034,113.931,0,0,106.663,114.217,109.931,108.25,0,117.268,115.295,112.475,111.008,110.614,114.656,102.379,113.134,112.071,107.205,118.958,100.181,119.446,106.109,115.891,108.465,109.024,113.655,116.15,118.222,111.372,108.481,117.046,125.909,112.375,115.46,104.219,104.384,110.548,119.258,111.191,112.752,105.175,118.315,102.254,110.851,117.013,110.734,111.546,0,114.666,110.316,108.503,110.059,117.419,114.032,117.605,105.308,106.046,108.895,119.211,107.98,0,117.632,112.273,106.173,110.286,111.791,118.772,107.952,112.17,108.066,114.6
113.698,110.575,117.707,106.877,0,118.544,121.687,0,115.12,105.873,121.351,102.13,117.327,0,105.853,112.443,111.569,112.541,106.66,114.903,109.666,105.753,117.675,117.397,108.636,111.385,108.561,120.303,109.851,111.835,113.786,0,0,111.79,117.296,115.147,105.962,0,118.66,116.952,111.344,115.424,105.693,113.609,101.089,115.281,113.348,106.402,119.277,0,121.628,102.799,112.504,109.705,113.869,112.323,118.405,121.035,107.148,106.361,118.969,127.957,114.906,114.07,104.868,102.776,110.909,114.656,111.557,111.731,105.742,115.272,102.272,109.955,120.749,111.566,108.504,0,113.118,112.541,105.295,113.897,119.109,119.199,116.829,107.599,106.335,106.837,121.468,109.045,0,117.59,109.176,108.294,109.82,112.991,115.571,108.465,116.552,105.226,114.174
