25.04,24.24,23.6,22.96,22.64,22,21.52,21.04,20.88,20.24,19.92,18.8,18.16,17.36,16.24,15.6,14.8,14,12.88,12.08,10.96,10,9.04,8.4,6.16,5.52,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24.92,24.28,23.64,23,22.52,22.04,21.56,21.08,20.92,20.28,19.96,18.84,18.04,17.4,16.28,15.48,14.84,14.04,12.92,12.12,11,10.04,9.08,8.28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
25.0327,24.2327,23.5927,22.9527,22.6327,21.9927,21.5127,21.0327,20.8727,20.2327,19.9127,18.7927,18.1527,17.3527,16.2327,15.5927,14.7927,13.9927,12.8727,12.0727,11.1127,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
24.9854,24.3454,23.5454,22.9054,22.5854,22.1054,21.6254,21.1454,20.8254,20.3454,19.8654,18.9054,18.1054,17.3054,16.3454,15.5454,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
24.9382,24.2982,23.6582,22.8582,22.5382,22.0582,21.5782,21.0982,20.9382,20.2982,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
24.8909,24.2509,23.6109,22.9709,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2.2,1.54,1.32,0.659999,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,11,11,11,11,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3.96,3.3,2.86,2.2,1.54,1.32,0.66,0,0,0,0,0,0,0,0,0,0,0,0,
