NAME,Asset_0,Asset_8,Asset_16,Asset_24,Asset_32,Asset_40,Asset_48,Asset_56,Asset_64,Asset_72,Asset_80,Asset_88,Asset_96,Asset_104,Asset_112,Asset_120,Asset_128,Asset_136,Asset_144,Asset_152,Asset_160,Asset_168,Asset_176,Asset_184,Asset_192,Asset_200,Asset_208,Asset_216,Asset_224,Asset_232,Asset_240,Asset_248,Asset_256,Asset_264,Asset_272,Asset_280,Asset_288,Asset_296,Asset_304,
Cash_0,0,0,0,-10.4,-19.6,-19.2,-28.4,-28,-27.6,-27.2,-26.8,-26.4,-26,-25.6,-25.2,-24.8,-24.4,-24,-23.6,-23.2,-22.8,-22.4,-22,-31.2,-30.8,-30.4,-20.4,-20,-19.6,-19.2,-18.8,-18.4,-18,-17.6,-17.2,-16.8,-16.4,-16,-15.6,
Cash_8,0,-4,-13.2,-22.4,-31.6,-12,-21.2,-20.8,-20.4,0,0,0,0,0,0,-17.6,-17.2,-16.8,-16.4,-16,-15.6,-15.2,-14.8,-14.4,-14,-13.6,-13.2,-12.8,-12.4,-12,-11.6,-11.2,-10.8,-10.4,-10,-9.6,-15.2,-16,-15.6,
Cash_16,0,-5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_64,0,17.4,9.8,0,18.6,19,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_72,24,16.4,24.8,25.2,25.6,26,18.4,18.8,19.2,19.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_80,23,31.4,31.8,32.2,32.6,25,25.4,25.8,26.2,26.6,27,27.4,19.8,20.2,20.6,21,21.4,21.8,30.2,30.6,31,31.4,23.8,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_88,31,39.4,39.8,40.2,32.6,33,33.4,33.8,34.2,34.6,27,27.4,27.8,28.2,28.6,29,29.4,29.8,38.2,38.6,31,31.4,31.8,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_96,46,46.4,46.8,39.2,39.6,40,40.4,40.8,41.2,41.6,34,34.4,34.8,35.2,35.6,36,36.4,44.8,45.2,45.6,38,38.4,38.8,31.2,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_104,53,53.4,53.8,46.2,46.6,47,47.4,47.8,48.2,40.6,41,41.4,41.8,42.2,42.6,51,51.4,51.8,52.2,44.6,45,45.4,45.8,38.2,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
