NAME,Asset_0,Asset_8,Asset_16,Asset_24,Asset_32,Asset_40,Asset_48,Asset_56,Asset_64,Asset_72,Asset_80,Asset_88,Asset_96,Asset_104,Asset_112,Asset_120,Asset_128,Asset_136,Asset_144,Asset_152,Asset_160,Asset_168,Asset_176,Asset_184,Asset_192,Asset_200,Asset_208,Asset_216,Asset_224,Asset_232,Asset_240,Asset_248,Asset_256,Asset_264,Asset_272,Asset_280,Asset_288,Asset_296,Asset_304,
Cash_0,0,0,0,8,16,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,32,32,32,24,24,24,24,24,24,24,24,24,24,24,24,24,
Cash_8,0,2,10,18,26,10,18,18,18,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,24,24,
Cash_16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_64,0,-19.7,-10.9,0,-19.7,-19.7,-19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_72,-27.4,-18.6,-27.4,-27.4,-27.4,-27.4,-18.6,-18.6,-18.6,-18.6,-18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_80,-26.3,-35.1,-35.1,-35.1,-35.1,-26.3,-26.3,-26.3,-26.3,-26.3,-26.3,-26.3,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-26.3,-26.3,-26.3,-26.3,-17.5,-17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_88,-35.1,-43.9,-43.9,-43.9,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-26.3,-26.3,-26.3,-26.3,-26.3,-26.3,-26.3,-26.3,-35.1,-35.1,-26.3,-26.3,-26.3,-26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_96,-51.6,-51.6,-51.6,-42.8,-42.8,-42.8,-42.8,-42.8,-42.8,-42.8,-34,-34,-34,-34,-34,-34,-34,-42.8,-42.8,-42.8,-34,-34,-34,-25.2,-25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_104,-59.3,-59.3,-59.3,-50.5,-50.5,-50.5,-50.5,-50.5,-50.5,-41.7,-41.7,-41.7,-41.7,-41.7,-41.7,-50.5,-50.5,-50.5,-50.5,-41.7,-41.7,-41.7,-41.7,-32.9,-24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
