,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296
0,0.167,0.322,11.113,4.354,0.914,1.228,1.175,0.257,0.22,0.472,1.782,3.776,6.903,10.607,13.419,13.953,10.896,3.935,5.661,15.4917,22.5164,24.977,22.794,17.452,11.578,6.644,2.602,0.38,2.559,4.13,5.316,6.267,7.065,7.751,8.365,8.899,9.354,9.726
8,0.195,0.221,0.493,0.268,0.155,0.841,0.365,0.056,0.537,1.985,4.389,7.631,10.827,13.097,13.111,10.132,3.234,6.788,16.46502,22.6564,24.051,21.212,16.021,10.479,5.591,1.8,0.955,2.926,4.368,5.474,6.396,7.17,7.846,8.452,8.963,9.425,9.756,10.062
16,0.234,0.284,1.679,1.044,0.317,0.594,0.116,1.04,2.633,5.348,8.863,12.075,13.865,12.739,7.864,0.56,10.6766,19.2893,23.796,23.566,19.644,14.249,8.834,4.302,0.89,1.589,3.375,4.702,5.739,6.598,7.336,7.984,8.559,9.08,9.511,9.99,10.439,10.641
24,0.27,0.086,1.013,0.476,0.108,0.081,1.288,3.068,6.004,9.932,13.617,15.158,13.346,7.437,1.857,12.257,20.5542,24.312,23.157,18.589,12.829,7.601,3.352,0.182,2.1,3.749,4.987,5.967,6.781,7.488,8.119,8.657,9.169,9.616,9.984,10.317,10.541,10.647
32,0.304,0.029,0.994,0.266,0.456,1.129,3.148,6.208,10.451,14.756,16.838,14.635,7.957,2.153,13.0089,21.2717,24.613,22.895,17.87,11.856,6.552,2.538,0.426,2.548,4.088,5.254,6.185,6.966,7.634,8.233,8.776,9.212,9.643,9.964,10.21,10.398,10.549,10.632
40,0.335,0.13,0.816,0.133,1.105,2.677,5.825,10.241,15.116,18.124,16.496,9.264,1.667,13.2242,21.8199,25.106,23.082,17.691,11.399,5.939,1.895,0.898,2.895,4.349,5.457,6.346,7.096,7.744,8.297,8.8,9.239,9.565,9.877,10.087,10.248,10.395,10.539,10.622
48,0.364,0.193,0.592,0.658,2.162,4.89,9.36,14.703,18.782,18.397,11.582,0.173,12.7166,22.0722,25.704,23.636,17.975,11.377,5.684,1.524,1.29,3.185,4.568,5.628,6.481,7.197,7.815,8.346,8.788,9.183,9.507,9.733,9.954,10.112,10.245,10.385,10.528,10.611
56,0.386,0.182,0.241,1.433,3.793,7.864,13.443,18.61,19.928,14.409,2.47,11.383,22.0074,26.458,24.642,18.808,11.85,5.816,1.43,1.489,3.413,4.74,5.757,6.579,7.263,7.845,8.343,8.758,9.093,9.383,9.618,9.783,9.964,10.106,10.236,10.375,10.518,10.6
64,0.38,0.182,0.579,2.762,6.712,12.247,17.002,19.783,17.303,6.276,8.8851,21.4058,27.268,26.094,20.22,12.855,6.355,1.62,1.496,3.51,4.869,5.851,6.641,7.295,7.843,8.302,8.686,8.997,9.242,9.459,9.648,9.789,9.957,10.097,10.226,10.365,10.509,10.591
72,0.375,0.887,2.633,6.275,11.217,16.055,18.284,15.418,6.68,6.513,18.87178,27.7341,27.821,22.205,14.467,7.392,2.17,1.242,3.339,4.722,5.775,6.668,7.295,7.809,8.234,8.584,8.873,9.107,9.296,9.478,9.649,9.782,9.948,10.088,10.217,10.356,10.5,10.582
80,0.61,2.253,5.438,10.084,15.065,17.573,15.553,7.583,4.825,17.07717,25.7029,27.655,23.599,16.537,9.474,3.993,0.244,2.203,3.889,5.145,6.116,6.891,7.547,8.164,8.468,8.732,8.955,9.145,9.307,9.477,9.642,9.773,9.94,10.079,10.209,10.348,10.491,10.574
88,2.123,4.919,9.283,14.167,17.432,16.212,9.065,3.137,15.6183,24.9484,27.502,23.813,17.222,10.237,4.554,0.617,1.968,3.687,4.973,5.968,6.761,7.483,8.11,8.54,8.585,8.795,8.983,9.152,9.305,9.47,9.636,9.766,9.933,10.072,10.201,10.34,10.484,10.567
96,4.747,9.068,13.959,17.209,16.558,9.986,1.447,13.8721,23.5383,26.958,23.967,17.64,10.814,5.158,1.129,1.553,3.387,4.759,5.809,6.628,7.339,7.993,8.463,8.765,8.956,8.841,9.012,9.174,9.324,9.489,9.654,9.785,9.951,10.091,10.22,10.359,10.502,10.584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.821
