,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296
0,0,0,8,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,4
8,0,2,0,0,0,4,0,4,4,14,14,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,4,9,0,17,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4,0,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,8,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,8,0,0,4,4,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
