NAME,Asset_0,Asset_0.2,Asset_0.4,Asset_0.6,Asset_0.8,Asset_1,Asset_1.2,Asset_1.4,Asset_1.6,Asset_1.8,Asset_2,Asset_2.2,Asset_2.4,Asset_2.6,Asset_2.8,Asset_3,Asset_3.2,Asset_3.4,Asset_3.6,Asset_3.8,Asset_4,Asset_4.2,Asset_4.4,Asset_4.6,Asset_4.8,Asset_5,Asset_5.2,Asset_5.4,Asset_5.6,Asset_5.8,Asset_6,Asset_6.2,Asset_6.4,Asset_6.6,Asset_6.8,Asset_7,Asset_7.2,Asset_7.4,Asset_7.6,Asset_7.8,Asset_8,Asset_8.2,Asset_8.4,Asset_8.6,Asset_8.8,Asset_9,Asset_9.2,Asset_9.4,Asset_9.6,Asset_9.8,Asset_10,Asset_10.2,Asset_10.4,Asset_10.6,Asset_10.8,Asset_11,Asset_11.2,Asset_11.4,Asset_11.6,Asset_11.8,Asset_12,Asset_12.2,Asset_12.4,Asset_12.6,Asset_12.8,Asset_13,Asset_13.2,Asset_13.4,Asset_13.6,Asset_13.8,Asset_14,Asset_14.2,Asset_14.4,Asset_14.6,Asset_14.8,Asset_15,
Cash_0,0,0,0,4.6,4.8,9,13.2,17.4,21.6,25.8,14,17.2,21.4,17.6,17.8,18,17.2,17.4,17.6,17.8,14,14.2,13.4,13.6,13.8,14,0,13.4,13.6,13.8,14,14.2,14.4,13.6,13.8,14,14.2,14.4,13.6,13.8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_0.2,0,0,5.4,5.6,9.8,14,18.2,17.4,21.6,13.8,14,18.2,14.4,13.6,13.8,14,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_0.4,0,0,0,6.6,9.8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,
Cash_0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4.8,9.4,0,
Cash_0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0,0,0,-4.4,0.2,4.8,9.4,0,
Cash_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9,0,0,-6.4,-6.2,-6,-5.8,-6.7,-6.5,-6.3,-6.1,-5.9,0,-6.6,-6.4,-6.2,-6,0,-6.7,-6.5,-6.3,-5,0,-9,-4.4,0.2,4.8,9.4,0,
Cash_1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2,-6,-5.8,-10,-9.8,-10.7,-10.5,-10.3,-10.1,-9.9,-9.7,-10.6,-10.4,-10.2,-10,-9.8,-10.7,-10.5,-10.3,-10.1,-9.9,-10.8,-10.6,-10.4,-10.2,-10,-9.8,-9.6,-9.4,-13.6,-9,-4.4,0.2,4.8,9.4,0,
Cash_1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.6,-9.4,0,0,0,0,0,0,0,0,0,0,-9.4,-10.3,-10.1,-9.9,-9.7,-9.5,-10.4,-10.2,-14.4,-14.2,-14,-13.8,-14.7,-14.5,-14.3,-14.1,-13.9,-13.7,-14.6,-14.4,-14.2,-14,-13.8,-14.7,-14.5,-14.3,-14.1,-13.9,-14.8,-14.6,-14.4,-14.2,-14,-18.2,-13.6,-9,-4.4,0.2,4.8,9.4,0,
Cash_1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5,-13.7,-13.5,-14.4,-14.2,-9.6,-9.4,-9.2,-9,-9.9,-9.7,-9.5,-9.3,-9.1,-8.9,-9.8,-14,-13.8,-13.6,-13.4,-14.3,-14.1,-13.9,-18.1,-17.9,-14.4,-18.6,-18.4,-18.2,-18,-17.8,-18.7,-18.5,-18.3,-18.1,-17.9,-17.7,-18.6,-18.4,-18.2,-18,-17.8,-18.7,-18.5,-18.3,-18.1,-17.9,-14.4,-14.2,-14,-18.2,-13.6,-9,-4.4,0.2,4.8,9.4,0,
Cash_1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.2,-17.4,-13.9,-18.1,-17.9,-17.7,-17.5,-14,-13.8,-13.6,-13.4,-13.2,-13,-13.9,-13.7,-13.5,-17.7,-17.5,-17.3,-18.2,-18,-17.8,-17.6,-21.8,-18.3,-18.1,-22.3,-22.1,-21.9,-22.8,-22.6,-22.4,-22.2,-22,-21.8,-22.7,-22.5,-22.3,-22.1,-21.9,-22.8,-22.6,-22.4,-22.2,-22,-21.8,-22.7,-22.5,-22.3,-18.8,-18.6,-22.8,-18.2,-13.6,-9,-4.4,0.2,4.8,9.4,0,
