,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296
0,-766.34,-764.489,-759.93,-743.276,-726.381,-711.002,-694.52,-674.899,-651.057,-623.714,-589.724,-545.747,-486.899,-405.879,-305.804,-185.715,-60.0445,59.9288,159.652,237.139,293.808,335.428,367.695,392.214,411.142,426.266,438.218,448.073,456.791,464.33,471.047,476.931,482.235,486.617,490.796,494.096,496.712,499.677
8,-750.625,-746.555,-733.015,-719.456,-706.108,-686.237,-665.131,-640.365,-609.715,-571.85,-521.872,-454.571,-365.434,-253.408,-130.697,-6.92126,104.474,196.499,265.855,315.039,349.935,375.564,395.63,411.833,425.105,436.326,446.14,454.587,462.234,468.869,474.812,480.006,484.707,488.528,492.238,495.066,497.211,499.846
16,-735.374,-729.559,-715.343,-698.839,-682.161,-659.556,-634.802,-605.091,-567.423,-518.913,-453.417,-366.066,-256.223,-129.968,-5.19642,106.642,196.732,264.574,313.181,347.207,372.421,391.81,407.672,421.151,432.583,442.506,451.398,459.093,466.083,472.13,477.533,482.245,486.485,489.886,493.222,495.698,497.64,499.847
24,-720.596,-713.065,-696.984,-678.651,-659.651,-634.267,-605.886,-570.875,-525.257,-464.597,-382.84,-278.05,-155.813,-27.7643,87.944,182.453,253.017,303.736,340.037,366.278,386.902,403.352,417.18,429.242,439.562,448.509,456.654,463.633,469.994,475.435,480.328,484.503,488.381,491.372,494.292,496.428,497.647,499.847
32,-706.273,-697.13,-679.477,-659.285,-637.943,-609.732,-577.163,-534.994,-478.525,-402.196,-302.279,-182.778,-56.7291,62.4997,162.434,238.517,292.888,331.717,360.505,382.147,399.992,414.472,426.742,437.251,446.373,454.606,461.722,468.005,473.702,478.663,482.944,486.841,489.945,492.44,495.216,496.447,497.647,499.847
40,-692.389,-681.718,-662.542,-640.52,-616.451,-584.443,-545.168,-490.126,-416.023,-317.125,-199.902,-74.2948,45.8891,150.202,228.64,285.833,326.478,356.418,378.554,396.885,411.758,424.235,434.937,444.234,452.556,459.809,466.183,471.968,476.997,481.383,485.3,488.517,491.181,493.999,495.247,496.447,497.647,499.847
48,-678.931,-666.765,-645.981,-621.563,-592.244,-552.178,-499.092,-427.467,-331.914,-216.979,-91.9207,29.4294,136.015,217.544,277.453,321.481,352.311,375.442,393.766,409.038,421.645,432.61,442.093,450.503,457.894,464.36,470.232,475.33,479.724,483.757,487.088,489.917,492.782,494.047,495.247,496.447,497.647,499.847
56,-665.865,-651.853,-628.241,-597.625,-559.16,-508.017,-438.858,-346.645,-232.717,-109.532,12.9369,120.194,206.392,269.053,315.025,347.265,371.429,390.631,406.312,419.17,430.279,439.95,448.311,455.973,462.535,468.494,473.661,478.169,482.213,485.658,488.471,491.443,492.847,494.047,495.247,496.447,497.647,499.847
64,-652.961,-632.834,-603.34,-566.114,-516.901,-450.186,-361.323,-249.849,-127.128,-3.5884,106.172,195.183,260.604,308.534,342.099,367.395,387.094,403.268,416.475,427.943,437.804,446.271,454.049,460.708,466.648,471.989,476.613,480.667,484.226,487.022,490.041,491.646,492.847,494.047,495.247,496.447,497.647,499.847
72,-637.18,-608.77,-573.041,-525.744,-462.719,-375.955,-266.947,-144.71,-20.1465,92.097,183.917,252.106,301.477,336.898,363.344,383.539,400.186,413.772,425.448,435.495,444.137,452.124,458.88,464.918,470.315,475.055,479.121,482.793,485.558,488.635,490.444,491.647,492.847,494.047,495.247,496.447,497.647,499.847
80,-613.626,-579.938,-534.545,-474.215,-390.522,-284.011,-162.275,-36.7375,77.9686,172.59,243.56,294.978,331.833,359.275,380.122,397.092,411.063,422.761,433.176,442.001,450.076,456.968,463.098,468.639,473.496,477.456,481.358,484.242,487.229,489.236,490.447,491.647,492.847,494.047,495.247,496.447,497.647,499.847
88,-585.585,-541.583,-483.222,-405.021,-301.037,-178.056,-53.3612,63.7871,161.206,234.966,288.517,326.857,355.174,376.669,393.986,408.349,420.294,430.853,439.862,447.84,455.051,461.276,466.905,471.83,475.904,479.922,482.935,485.583,488.024,489.247,490.447,491.647,492.847,494.047,495.247,496.447,497.647,499.847
96,-548.593,-492.189,-416.465,-315.831,-195.263,-70.018,49.5524,150.029,226.323,282.062,322.169,350.976,373.204,390.868,405.625,417.823,428.526,437.721,445.804,453.132,459.453,465.169,470.16,474.351,478.379,481.506,484.02,486.811,488.047,489.247,490.447,491.647,492.847,494.047,495.247,496.447,497.647,499.847
