NAME,Asset_0,Asset_0.2,Asset_0.4,Asset_0.6,Asset_0.8,Asset_1,Asset_1.2,Asset_1.4,Asset_1.6,Asset_1.8,Asset_2,Asset_2.2,Asset_2.4,Asset_2.6,Asset_2.8,Asset_3,Asset_3.2,Asset_3.4,Asset_3.6,Asset_3.8,Asset_4,Asset_4.2,Asset_4.4,Asset_4.6,Asset_4.8,Asset_5,Asset_5.2,Asset_5.4,Asset_5.6,Asset_5.8,Asset_6,Asset_6.2,Asset_6.4,Asset_6.6,Asset_6.8,Asset_7,Asset_7.2,Asset_7.4,Asset_7.6,
Cash_0,0,0,0,-11.6,-21.2,-21.2,-20,-20,-18.8,-18.8,-18.8,-17.6,-8,-8,-6.8,-16.4,-16.4,-15.2,-15.2,-14,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_0.2,0,-4.4,-12.8,-22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,8,0,
Cash_0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,13,13,14,14,15,15,15,16,16,16,16,24,16,8,0,
Cash_0.8,0,0,0,0,0,0,0,0,0,0,15,16,16,0,0,0,0,0,18,19,19,19,20,20,20,21,21,21,22,22,23,23,23,24,24,24,16,8,0,
Cash_1,0,0,0,0,0,0,13,13,14,22,23,23,15,16,16,24,17,25,26,26,26,27,27,27,28,28,28,29,29,30,30,30,31,32,32,24,16,8,0,
Cash_1.2,0,0,0,0,12,20,20,21,29,30,30,22,23,23,23,24,32,32,33,33,33,34,34,35,35,35,36,36,36,37,37,37,40,40,32,24,16,8,0,
Cash_1.4,0,0,18,19,27,27,28,36,36,37,29,29,30,30,31,39,39,40,40,40,41,41,41,42,42,43,43,43,44,44,44,48,48,40,32,24,16,8,0,
Cash_1.6,0,17,25,34,34,35,43,43,44,36,36,37,37,38,46,46,47,47,47,48,48,48,49,49,49,50,50,51,51,51,56,56,48,40,32,24,16,8,0,
Cash_1.8,24,32,41,41,41,50,50,51,43,43,44,44,52,53,53,54,54,54,55,55,55,56,56,56,57,57,58,58,58,64,64,56,48,40,32,24,16,8,0,
Cash_2,39,48,48,48,57,57,58,50,50,51,51,59,52,60,60,61,61,61,62,62,63,63,63,64,64,64,65,65,64,72,64,56,48,40,32,24,16,8,0,
Cash_2.2,55,55,55,64,64,64,57,57,58,58,58,59,67,67,68,68,68,69,69,69,70,70,71,71,71,72,72,72,80,72,64,56,48,40,32,24,16,8,0,
Cash_2.4,62,62,63,71,71,64,64,64,65,65,73,74,74,75,75,75,76,76,76,77,77,78,78,78,79,79,79,80,80,72,64,56,48,40,32,24,16,8,0,
Cash_2.6,69,70,78,78,71,71,71,72,72,80,81,81,81,82,82,83,83,83,84,84,84,85,85,86,86,86,88,88,80,72,64,56,48,40,32,24,16,8,0,
