NAME,Asset_0,Asset_8,Asset_16,Asset_24,Asset_32,Asset_40,Asset_48,Asset_56,Asset_64,Asset_72,Asset_80,Asset_88,Asset_96,Asset_104,Asset_112,Asset_120,Asset_128,Asset_136,Asset_144,Asset_152,Asset_160,Asset_168,Asset_176,Asset_184,Asset_192,Asset_200,Asset_208,Asset_216,Asset_224,Asset_232,Asset_240,Asset_248,Asset_256,Asset_264,Asset_272,Asset_280,Asset_288,Asset_296,Asset_304,
Cash_0,0,0,0,9.2,17.6,18,17.4,17.8,17.2,17.6,18,17.4,9.8,10.2,9.6,18,18.4,17.8,18.2,17.6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_8,0,2.4,9.8,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,-4.2,5,0,
Cash_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.4,-6.1,-5.7,-5.3,-6,-5.6,-6.3,-5.9,-5.5,-6.2,-5.8,-5.4,-5,-13.4,-4.2,5,0,
Cash_32,0,0,0,0,0,0,0,0,0,0,-13.5,-14.2,-13.8,0,0,0,0,0,-13.6,-14.3,-13.9,-13.5,-14.2,-13.8,-13.4,-14.1,-13.7,-13.3,-14,-13.6,-14.3,-13.9,-13.5,-14.2,-13.8,-13.4,-4.2,5,0,
Cash_40,0,0,0,0,0,0,-12.9,-12.5,-13.2,-21.6,-22.3,-21.9,-12.7,-13.4,-13,-21.4,-13.3,-21.7,-22.4,-22,-21.6,-22.3,-21.9,-21.5,-22.2,-21.8,-21.4,-22.1,-21.7,-22.4,-22,-21.6,-22.3,-23,-22.6,-13.4,-4.2,5,0,
Cash_48,0,0,0,0,-12.6,-21,-20.6,-21.3,-29.7,-30.4,-30,-20.8,-21.5,-21.1,-20.7,-21.4,-29.8,-29.4,-30.1,-29.7,-29.3,-30,-29.6,-30.3,-29.9,-29.5,-30.2,-29.8,-29.4,-30.1,-29.7,-29.3,-32.2,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_56,0,0,-20,-20.7,-29.1,-28.7,-29.4,-37.8,-37.4,-38.1,-28.9,-28.5,-29.2,-28.8,-29.5,-37.9,-37.5,-38.2,-37.8,-37.4,-38.1,-37.7,-37.3,-38,-37.6,-38.3,-37.9,-37.5,-38.2,-37.8,-37.4,-41.4,-41,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_64,0,-19.3,-27.7,-37.2,-36.8,-37.5,-45.9,-45.5,-46.2,-37,-36.6,-37.3,-36.9,-37.6,-46,-45.6,-46.3,-45.9,-45.5,-46.2,-45.8,-45.4,-46.1,-45.7,-45.3,-46,-45.6,-46.3,-45.9,-45.5,-50.6,-50.2,-41,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_72,-27.4,-35.8,-45.3,-44.9,-44.5,-54,-53.6,-54.3,-45.1,-44.7,-45.4,-45,-53.4,-54.1,-53.7,-54.4,-54,-53.6,-54.3,-53.9,-53.5,-54.2,-53.8,-53.4,-54.1,-53.7,-54.4,-54,-53.6,-59.8,-59.4,-50.2,-41,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_80,-43.9,-53.4,-53,-52.6,-62.1,-61.7,-62.4,-53.2,-52.8,-53.5,-53.1,-61.5,-53.4,-61.8,-61.4,-62.1,-61.7,-61.3,-62,-61.6,-62.3,-61.9,-61.5,-62.2,-61.8,-61.4,-62.1,-61.7,-60.2,-68.6,-59.4,-50.2,-41,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_88,-61.5,-61.1,-60.7,-70.2,-69.8,-69.4,-61.3,-60.9,-61.6,-61.2,-60.8,-61.5,-69.9,-69.5,-70.2,-69.8,-69.4,-70.1,-69.7,-69.3,-70,-69.6,-70.3,-69.9,-69.5,-70.2,-69.8,-69.4,-77.8,-68.6,-59.4,-50.2,-41,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_96,-69.2,-68.8,-69.5,-77.9,-77.5,-69.4,-69,-68.6,-69.3,-68.9,-77.3,-78,-77.6,-78.3,-77.9,-77.5,-78.2,-77.8,-77.4,-78.1,-77.7,-78.4,-78,-77.6,-78.3,-77.9,-77.5,-78.2,-77.8,-68.6,-59.4,-50.2,-41,-31.8,-22.6,-13.4,-4.2,5,0,
Cash_104,-76.9,-77.6,-86,-85.6,-77.5,-77.1,-76.7,-77.4,-77,-85.4,-86.1,-85.7,-85.3,-86,-85.6,-86.3,-85.9,-85.5,-86.2,-85.8,-85.4,-86.1,-85.7,-86.4,-86,-85.6,-87.4,-87,-77.8,-68.6,-59.4,-50.2,-41,-31.8,-22.6,-13.4,-4.2,5,0,
