NAME,Asset_0,Asset_4,Asset_8,Asset_12,Asset_16,Asset_20,Asset_24,Asset_28,Asset_32,Asset_36,Asset_40,Asset_44,Asset_48,Asset_52,Asset_56,Asset_60,Asset_64,Asset_68,Asset_72,Asset_76,Asset_80,Asset_84,Asset_88,Asset_92,Asset_96,Asset_100,Asset_104,Asset_108,Asset_112,Asset_116,Asset_120,Asset_124,Asset_128,Asset_132,Asset_136,Asset_140,Asset_144,Asset_148,Asset_152,Asset_156,Asset_160,Asset_164,Asset_168,Asset_172,Asset_176,Asset_180,Asset_184,Asset_188,Asset_192,Asset_196,Asset_200,Asset_204,Asset_208,Asset_212,Asset_216,Asset_220,Asset_224,Asset_228,Asset_232,Asset_236,Asset_240,Asset_244,Asset_248,Asset_252,Asset_256,Asset_260,Asset_264,Asset_268,Asset_272,Asset_276,Asset_280,Asset_284,Asset_288,Asset_292,Asset_296,Asset_300,
Cash_0,0,0,0,-6.8,-6.8,-11.6,-16.4,-21.2,-26,-30.8,-16.4,-20,-24.8,-20,-20,-20,-18.8,-18.8,-18.8,-18.8,-14,-14,-12.8,-12.8,-12.8,-12.8,0,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-10.4,-10.4,-10.4,-10.4,-10.4,-9.2,-9.2,-9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_4,0,0,-8,-8,-12.8,-17.6,-22.4,-21.2,-26,-16.4,-16.4,-21.2,-16.4,-15.2,-15.2,-15.2,-15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash_8,0,0,0,-9.2,-12.8,-17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
Cash_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,0,
Cash_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,12,8,4,0,
Cash_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,14,14,14,15,15,15,15,15,0,16,16,16,16,0,17,17,17,16,0,20,16,12,8,4,0,
Cash_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,16,16,17,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,20,24,20,16,12,8,4,0,
Cash_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,14,15,15,15,15,15,16,16,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,23,23,23,23,23,24,24,24,24,24,28,24,20,16,12,8,4,0,
Cash_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,15,16,16,12,12,12,12,13,13,13,13,13,13,14,18,18,18,18,19,19,19,23,23,20,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,27,27,27,27,27,24,24,24,28,24,20,16,12,8,4,0,
Cash_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,15,19,19,19,19,16,16,16,16,16,16,17,17,17,21,21,21,22,22,22,22,26,23,23,27,27,27,28,28,28,28,28,28,29,29,29,29,29,30,30,30,30,30,30,31,31,31,28,28,32,28,24,20,16,12,8,4,0,
Cash_40,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,18,18,22,22,22,23,19,19,19,19,20,20,20,20,20,20,21,21,25,25,25,26,26,26,26,30,30,31,31,31,31,31,31,32,32,32,32,32,33,33,33,33,33,34,34,34,34,34,34,32,32,36,32,28,24,20,16,12,8,4,0,
Cash_44,0,0,0,0,0,0,0,0,0,0,0,17,17,21,21,21,22,26,26,26,26,26,23,23,23,23,23,23,24,24,28,28,28,29,29,29,29,29,30,30,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,37,37,37,37,37,37,38,38,36,36,40,36,32,28,24,20,16,12,8,4,0,
Cash_48,0,0,0,0,0,0,0,0,12,16,20,20,24,25,25,29,29,29,30,26,26,26,26,26,27,27,27,27,27,31,28,32,32,32,32,33,33,33,37,37,37,38,38,38,38,38,39,39,39,39,39,40,40,40,40,40,40,41,41,41,41,41,40,40,44,40,36,32,28,24,20,16,12,8,4,0,
