,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296
0,0,0,0,8,16,16,15,15,14,14,14,13,5,5,4,12,12,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,-16,-8
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-13,-13,-13,-14,-14,-15,-15,-15,-16,-16,-16,-16,-24,-16,-8
32,0,0,0,0,0,0,0,0,0,0,-15,-16,-16,0,0,0,0,0,-18,-19,-19,-19,-20,-20,-20,-21,-21,-21,-22,-22,-23,-23,-23,-24,-24,-24,-16,-8
40,0,0,0,0,0,0,-13,-13,-14,-22,-23,-23,-15,-16,-16,-24,-17,-25,-26,-26,-26,-27,-27,-27,-28,-28,-28,-29,-29,-30,-30,-30,-31,-32,-32,-24,-16,-8
48,0,0,0,0,-12,-20,-20,-21,-29,-30,-30,-22,-23,-23,-23,-24,-32,-32,-33,-33,-33,-34,-34,-35,-35,-35,-36,-36,-36,-37,-37,-37,-40,-40,-32,-24,-16,-8
56,0,0,-18,-19,-27,-27,-28,-36,-36,-37,-29,-29,-30,-30,-31,-39,-39,-40,-40,-40,-41,-41,-41,-42,-42,-43,-43,-43,-44,-44,-44,-48,-48,-40,-32,-24,-16,-8
64,0,-17,-25,-34,-34,-35,-43,-43,-44,-36,-36,-37,-37,-38,-46,-46,-47,-47,-47,-48,-48,-48,-49,-49,-49,-50,-50,-51,-51,-51,-56,-56,-48,-40,-32,-24,-16,-8
72,-24,-32,-41,-41,-41,-50,-50,-51,-43,-43,-44,-44,-52,-53,-53,-54,-54,-54,-55,-55,-55,-56,-56,-56,-57,-57,-58,-58,-58,-64,-64,-56,-48,-40,-32,-24,-16,-8
80,-39,-48,-48,-48,-57,-57,-58,-50,-50,-51,-51,-59,-52,-60,-60,-61,-61,-61,-62,-62,-63,-63,-63,-64,-64,-64,-65,-65,-64,-72,-64,-56,-48,-40,-32,-24,-16,-8
88,-55,-55,-55,-64,-64,-64,-57,-57,-58,-58,-58,-59,-67,-67,-68,-68,-68,-69,-69,-69,-70,-70,-71,-71,-71,-72,-72,-72,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8
96,-62,-62,-63,-71,-71,-64,-64,-64,-65,-65,-73,-74,-74,-75,-75,-75,-76,-76,-76,-77,-77,-78,-78,-78,-79,-79,-79,-80,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8
