,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296
0,0,0,4,4,4,4,4,0,0,0,4,4,4,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
32,0,0,0,0,0,0,0,0,0,11,0,0,4,12,13,13,13,18,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4
40,0,0,0,0,0,0,13,4,4,0,0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4
48,0,0,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
56,0,0,0,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
64,0,8,4,4,4,4,0,0,4,4,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72,0,4,4,0,4,0,0,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
80,4,4,0,4,4,0,4,4,4,4,4,0,8,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
88,4,0,4,4,0,0,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
96,0,4,4,0,0,4,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
