TD,ET(0.6),ET(0.8)
12.0368,49.5728,149.721
17.2676,120.239,264.77
22.9011,181.666,313.597
26.3353,234.331,341.797
30.1439,258.77,338.85
34.1049,315.511,382.133
36.9606,322.173,376.863
40.5756,354.619,394.348
45.2243,356.183,378.392
48.6179,359.623,387.239
49.9427,380.658,397.462
56.3643,380.553,400.459
63.7697,384.031,395.468
66.4945,388.512,400.187
74.8388,376.736,391.877
84.2007,334.503,362.987
83.9223,390.22,399.726
101.07,394.96,399.146
105.193,396.096,403.468
109.18,390.776,398.95
128.029,395.359,400.688
133.916,374.565,392.886
132.512,399.31,401.958
162.298,393.248,398.084
172.675,373.973,390.433
176.483,398.365,403.927
197.591,405.301,408.893
208.851,398.266,403.134
212.746,404.762,409.454
221.971,406.392,410.279
231.885,396.725,403.903
245.86,402.017,405.25
251.018,402.203,402.656
236.007,396.192,399.699
265.344,393.243,397.438
269.047,391.266,396.205
279.559,405.118,409.806
287.247,401.519,402.488
298.853,404.849,409.449
294.537,399.16,406.081
304.502,407.052,410.901
318.698,395.981,393.782
322.153,410.578,413.384
324.331,406.465,408.331
316.573,401.256,400.915
335.847,405.909,406.321
337.061,404.374,403.58
339.381,406.723,410.558
338.754,404.47,403.543
343.062,410.216,412.258
352.054,404.643,406.473
345.732,405.724,409.04
355.145,404.027,405.32
354.28,407.238,410.326
357.193,407.702,410.12
366.78,407.803,407.617
363.201,409.467,414.696
345.535,405.328,406.454
367.296,402.229,405.499
372.084,407.457,410.069
374.453,404.965,408.726
377.697,403.962,406.674
376.367,413.934,416.882
367.748,407.537,405.79
371.332,402.231,408.092
372.229,409.81,408.719
381.988,410.064,410.992
385.588,406.555,406.696
386.31,411.418,411.359
369.779,402.255,406.96
385.54,409.197,411.067
383.126,404.888,404.316
386.073,402.999,403.775
386.851,408.057,409.303
358.293,402.758,400.863
386.586,399.128,403.886
389.757,407.257,407.821
387.918,403.745,405.47
383.632,397.556,402.934
388.289,410.857,413.801
391.95,403.653,404.201
395.364,407.398,408.741
392.907,408.372,408.766
395.341,408.138,408.981
395.213,400.888,393.552
397.285,406.272,408.822
395.674,397.949,396.178
398.208,408.168,407.403
394.653,388.875,388.001
389.244,414.719,416.27
372.877,409.614,411.97
393.436,402.764,404.813
365.483,409.193,411.35
397.845,408,410.35
391.778,406.862,409.049
397.774,411.064,410.759
397.932,409.099,412.642
390.476,408.783,409.717
356.656,412.586,414.813
389.1,406.677,404.079
392.557,405.715,409.95
396.52,408.988,408.362
396.739,407.974,408.015
398.587,406.087,404.659
397.716,410.073,409.969
393.61,410.371,408.982
396.618,406.002,406.012
372.978,407.99,408.657
398.046,415.134,419.189
395.52,399.7,401.641
397.483,411.746,412.849
392.631,407.861,411.275
394.136,385.534,390.582
390.296,409.307,413.131
399.315,402.531,400.854
400.874,406.599,408.488
402.899,402.937,403.313
397.775,404.489,408.161
399.527,407.57,407.252
375.557,408.182,408.455
404.302,403.319,405.726
396.288,393.275,396.742
399.465,409.44,412.048
402.245,408.369,410.281
402.793,407.107,406.394
402.261,405.63,405.332
379.584,408.043,409.455
401.249,395.859,398.393
400.623,412.853,414.31
397.475,409.516,409.942
401.992,401.426,404.34
365.502,407.638,408.134
402.125,409.071,407.754
400.64,405.185,405.141
377.463,409.378,409.995
395.986,406.738,407.645
396.688,410.614,413.492
401.696,392.102,390.025
399.822,406.781,406.883
401.311,406.242,406.812
403.019,405.92,404.881
402.071,413.496,416.865
401.9,406.111,407.841
400.646,410.162,411.767
375.728,409.664,409.056
401.705,410.064,408.792
400.88,404.798,402.867
402.886,408.634,409.659
399.461,410.986,408.708
402.501,408.506,409.526
402.463,407.279,405.218
399.711,410.344,411.126
399.422,412.391,413.441
403.438,409.413,408.698
399.399,405.904,402.805
403.073,406.102,406.345
399.118,410.045,408.822
395.91,409.187,407.099
403.647,407.026,408.288
400.477,408.865,410.018
398.824,402.875,400.739
402.241,399.204,398.098
401.017,402.546,403.989
403.198,401.999,402.536
398.956,407.755,409.146
403.93,400.532,400.861
392.095,404.573,404.609
390.203,399.105,398.011
404.357,407.255,405.799
401.997,403.868,406.123
393.758,409.326,408.719
403.432,406.761,406.62
373.986,404.009,407.256
402.986,404.146,404.561
394.499,404.306,404.595
401.904,409.083,410.738
403.882,390.392,388.007
399.67,402.521,403.464
400.913,404.45,405.541
402.439,403.151,405.329
403.727,405.863,406.44
402.792,408.89,410.31
401.273,406.046,409.379
404.714,405.474,405.544
405.062,406.02,406.576
402.229,398.129,400.924
404.757,405.248,405.99
407.305,403.408,403.188
401.444,409.782,412.769
402.816,398.973,398.348
401.075,403.138,402.937
408.279,408.014,408.792
399.367,406.34,404.834
407.017,401.389,403.242
390.668,405.322,405.527
408.402,405.841,404.068
407.407,407.627,407.312
405.635,403.495,404.386
407.214,407.737,408.637
400.608,405.294,405.177
395.23,403.343,400.344
403.747,404.27,403.459
406.864,402.286,402.253
407.213,404.067,405.963
406.095,400.121,401.243
392.551,407.791,409.632
399.323,401.435,402.349
402.893,404.631,405.777
405.125,404.074,401.98
406.629,405.754,406.182
406.96,403.009,403.751
383.392,407.719,410.313
387.384,401.135,402.433
404.084,401.866,404.753
405.149,402.932,402.401
402.387,404.964,409.113
408.02,404.791,408.467
403.739,405.051,404.427
405.803,404.772,406.673
406.146,405.095,406.931
396.208,392.801,396.678
407.148,401.247,398.96
397.725,412.355,414.621
403.581,406.967,408.427
406.83,404.493,405.512
400.543,401.255,404.803
407.288,404.023,404.88
407.04,402.452,402.49
406.398,401.687,399.975
405.105,406.579,406.978
403.751,409.019,408.132
405.041,408.464,409.637
404.474,402.87,401.594
402.855,401.125,399.248
401.8,411.559,411.947
398.026,409.522,412.256
401.701,411.875,413.736
397.029,403.277,406.175
401.916,408.971,409.716
400.615,405.418,407.803
404.899,407.689,409.45
403.67,405.375,405.292
402.189,407.144,408.087
401.409,410.915,410.246
405.117,412.154,413.283
404.584,413.892,414.836
402.837,408.709,409.615
402.28,407.893,406.936
402.228,409.553,408.021
403.465,407.539,406.072
402.412,406.285,407.319
400.388,402.334,400.798
402.78,405.111,404.568
397.04,409.219,408.379
402.785,393.377,395.091
362.132,401.48,401.547
396.719,405.997,405.052
402.401,400.287,398.781
403.11,407.943,410.981
404.103,410.887,409.459
387.031,405.077,405.241
401.979,401.856,398.015
404.215,406.213,409.037
398.622,406.89,407.218
396.685,411.109,412.808
404.203,406.16,404.516
403.263,409.907,410.318
402.354,414.545,415.401
401.144,405.532,406.214
399.143,409.455,410.287
403.381,404.657,405.424
405.07,405.955,404.464
404.781,401.147,401.101
404.233,405.897,408.639
396.796,415.439,417.445
404.161,398.926,397.634
406.026,408.041,411.398
405.478,409.147,412.198
405.598,405.599,408.948
403.103,408.937,409.023
405.3,404.165,404.794
406.264,408.85,409.736
391.294,408.499,410.261
403.931,405.776,405.393
407.337,407.085,407.46
405.712,404.663,404.135
405.812,409.692,411.317
405.484,407.517,409.238
390.567,403.355,402.636
403.661,409.077,407.948
402.132,409.124,411.042
403.349,408.007,409.124
403.976,408.637,412.687
402.5,402.343,404.716
404.312,409.476,411.602
398.632,409.9,411.172
402.801,404.275,405.219
405.432,407.285,409.366
403.899,407.084,404.743
406.275,414.627,417.272
