,asset 0,asset 1,asset 2,asset 3,asset 4,asset 5,asset 6,asset 7,asset 8,asset 9,asset 10,asset 11,asset 12,asset 13,asset 14,asset 15,asset 16,asset 17,asset 18,asset 19,asset 20,asset 21,asset 22,asset 23,asset 24,asset 25,asset 26,asset 27,asset 28,asset 29,asset 30,asset 31,asset 32,asset 33,asset 34,asset 35,asset 36,asset 37,asset 38,asset 39,asset 40,asset 41,asset 42,asset 43,asset 44,asset 45,asset 46,asset 47,asset 48,asset 49,asset 50,asset 51,asset 52,asset 53,asset 54,asset 55,asset 56,asset 57,asset 58,asset 59,asset 60,asset 61,asset 62,asset 63,asset 64,asset 65,asset 66,asset 67,asset 68,asset 69,asset 70,asset 71,asset 72,asset 73,asset 74,asset 75,asset 76,asset 77,asset 78,asset 79,asset 80,asset 81,asset 82,asset 83,asset 84,asset 85,asset 86,asset 87,asset 88,asset 89,asset 90,asset 91,asset 92,asset 93,asset 94,asset 95,asset 96,asset 97,asset 98,asset 99,asset 100,asset 101,asset 102,asset 103,asset 104,asset 105,asset 106,asset 107,asset 108,asset 109,asset 110,asset 111,asset 112,asset 113,asset 114,asset 115,asset 116,asset 117,asset 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78134,4.80481,8.21657,12.4216,16.4541,20.6774,25.1462,29.8334,34.6587,39.468,45.2945,54.1432,61.7822,70.9087,80.3146,89.9214,99.5959,109.556,121.355,133.238,143.037,153.093,162.975,173.639,182.957,192.027,200.577,208.793,216.567,224.44,233.204,240.144,246.621,252.85,258.883,264.765,270.458,275.992,281.544,286.531,291.3,295.87,300.285,305.162,309.299,313.308,317.188,320.889,324.93,329.133,332.551,343.026,346.266,349.442,352.489,355.463,358.34,361.164,363.921,366.596,369.157,371.665,374.118,376.706,379.139,381.797,384.158,386.429,388.616,390.795,392.897,394.992,397.036,399.054,401.025,402.975,404.885,406.773,408.628,410.454,412.282,414.035,415.761,417.622,419.269,420.913,422.514,424.114,425.663,427.215,428.722,430.235,431.696,433.146,434.555,435.973,437.343,438.711,440.041,441.366,442.669,443.952,445.21,447.92,449.123,450.31,451.48,452.65,453.786,454.915,456.016,457.134,458.202,459.289,460.33,461.377,462.389,463.401,464.387,465.371,466.321,467.268,468.193,469.114,470.017,470.916,471.796,472.672,473.526,474.373,475.201,476.034,476.834,477.646,478.421,479.199,479.948,480.699,481.428,482.16,482.87,483.587,484.287,484.993,485.673,486.352,487.006,487.648,488.278,488.898,489.508,490.105,490.694,491.282,491.847,492.412,492.958,493.502,494.052,494.603,495.193,495.733,496.266,496.764,497.261,497.742,498.205,498.677,499.108,499.552,499.965,500.39,500.785,501.184,501.599,502.003,502.418,502.806,503.23,503.613,503.952,504.416,504.778,505.104,505.399,505.683,506.055,506.39,506.732,506.945,507.251,507.46,507.667,507.88,508.079,508.278,508.549,508.701,508.869,510.046
cash1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96619,4.90742,8.23007,11.9714,16.5477,20.9829,25.6114,30.4988,35.6143,40.9037,46.3678,54.2894,66.3798,73.1346,81.874,91.4714,101.122,110.857,122.755,134.711,144.58,154.61,164.441,173.948,184.38,193.357,201.868,210.005,217.737,225.976,234.285,241.189,254.107,260.24,266.216,271.965,277.443,282.773,287.936,292.979,297.739,302.477,306.965,311.314,317.455,321.467,325.34,329.055,332.666,336.206,339.655,342.989,346.217,349.225,352.167,355.014,357.816,360.549,363.242,365.847,368.406,370.946,373.455,375.904,378.855,381.519,383.902,386.143,388.397,390.554,392.704,394.782,396.824,398.811,400.772,402.691,404.596,406.459,408.304,410.112,411.886,413.631,415.343,417.026,420.403,422.011,423.618,425.181,426.751,428.267,429.778,431.25,432.739,434.163,435.593,436.973,438.354,439.698,441.034,442.344,443.644,444.924,446.183,447.414,448.629,449.818,450.992,452.145,453.305,454.423,455.563,456.651,457.744,458.806,459.874,460.904,461.949,462.949,463.961,464.934,465.901,466.845,467.781,468.697,469.611,470.504,471.394,472.265,473.13,473.976,474.817,475.638,476.459,477.254,478.048,478.814,479.591,480.329,481.076,481.796,482.518,483.276,483.991,484.681,485.378,486.05,486.72,487.365,488.007,488.624,489.242,489.835,490.444,491.016,491.588,492.14,492.701,493.235,493.799,494.33,494.876,495.403,495.924,496.444,496.959,497.448,497.915,498.392,498.83,499.265,499.702,500.12,500.536,500.927,501.325,501.721,502.127,502.512,502.947,503.343,503.668,504.124,504.513,504.853,505.149,505.439,505.812,506.078,506.52,506.735,507.046,507.26,507.467,507.683,507.882,508.08,508.399,508.55,508.702,508.896,510.046
cash2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36202,4.1409,7.68991,11.6784,16.1825,22.015,27.371,32.945,38.8127,44.9323,51.2154,57.5468,64.7858,92.8639,101.646,111.146,120.751,130.364,139.877,149.673,159.644,168.924,177.811,186.344,194.59,205.204,212.968,220.521,227.768,234.765,241.758,248.64,255.032,262.915,268.863,274.575,279.985,285.216,290.312,295.244,300.001,304.571,309.01,313.157,317.166,321.628,325.316,328.878,332.326,335.683,338.953,342.139,345.263,348.391,351.392,354.34,357.2,360.025,362.763,365.431,368.033,370.582,373.172,375.664,378.052,383.297,385.509,387.755,389.902,392.041,394.096,396.154,398.147,400.128,402.059,403.969,405.836,407.687,409.495,411.281,413.034,414.761,416.472,418.139,419.782,421.487,423.073,424.66,426.203,427.751,429.245,430.748,432.205,433.664,435.074,436.477,437.838,439.208,440.53,441.853,443.139,444.421,445.668,446.913,448.126,449.33,450.508,451.67,452.816,453.95,455.064,456.181,457.257,458.367,459.414,460.47,461.49,462.517,463.507,464.506,465.467,466.437,467.436,468.36,469.266,470.167,471.051,471.933,472.795,473.653,474.489,475.316,476.125,476.947,477.727,478.518,479.275,480.033,480.764,481.504,482.217,482.933,483.629,484.328,485.012,485.705,486.37,487.034,487.675,488.3,488.915,489.518,490.109,490.699,491.268,491.846,492.395,492.937,493.471,494.01,494.538,495.105,495.609,496.139,496.643,497.152,497.613,498.106,498.548,498.995,499.419,499.841,500.255,500.676,501.077,501.458,501.859,502.24,502.632,503.074,503.402,503.862,504.162,504.602,504.899,505.195,505.571,505.846,506.168,506.524,506.839,507.061,507.267,507.486,507.684,507.884,508.248,508.4,508.552,508.746,508.896,510.047
cash3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726164,2.06112,3.73731,5.77448,8.45501,12.176,16.9278,22.4056,28.5046,35.8338,42.8054,49.9872,57.4826,65.2371,73.1531,81.1749,90.2169,104.072,113.062,122.795,132.723,142.521,152.123,161.976,171.6,180.45,189.155,197.383,205.317,216.746,224.157,231.237,238.083,244.687,251.18,257.487,263.524,269.916,275.47,280.739,285.792,290.697,295.448,300.018,304.44,308.704,312.836,316.776,320.642,328.94,332.415,335.814,339.114,342.334,345.498,348.623,351.656,354.855,357.639,360.375,363.029,365.638,368.171,370.669,373.1,375.494,377.839,380.161,382.422,384.742,386.946,389.185,391.29,393.412,395.445,397.482,399.453,401.413,403.323,405.215,407.064,408.897,410.688,412.457,414.193,415.903,417.597,419.249,420.875,422.483,424.053,425.626,427.153,428.682,430.163,431.639,433.075,434.535,435.926,437.318,438.665,440.012,441.323,442.631,443.908,445.176,446.501,447.726,448.93,450.121,451.287,452.437,453.568,454.709,455.807,456.902,457.97,459.045,460.081,461.141,462.149,463.167,464.148,465.126,466.08,467.033,467.954,468.872,469.769,470.66,471.535,472.406,473.258,474.107,474.934,475.754,476.557,477.359,478.134,478.919,479.668,480.426,481.149,481.871,482.575,483.287,483.97,484.674,485.351,486.031,486.687,487.343,487.973,488.6,489.205,489.806,490.392,490.971,491.538,492.095,492.639,493.189,493.713,494.242,494.773,495.29,495.818,496.336,496.855,497.331,497.812,498.261,498.706,499.164,499.574,500.02,500.413,500.827,501.199,501.597,501.988,502.359,502.788,503.136,503.592,503.906,504.262,504.649,504.95,505.329,505.614,505.923,506.312,506.632,506.861,507.068,507.289,507.487,507.685,507.884,508.25,508.402,508.596,508.746,508.896,510.047
cash4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473929,1.84251,3.63031,5.74879,8.17654,11.2715,15.7348,21.1442,27.1345,33.8306,42.0222,49.7813,57.7541,66.0602,74.6362,83.3602,92.1204,101.42,118.401,127.789,137.586,147.324,156.87,166.157,175.355,184.362,192.825,200.974,208.633,216.048,231.763,238.741,245.422,251.819,257.953,263.93,269.725,275.304,281.006,286.113,290.996,295.67,300.179,304.553,308.785,312.898,316.87,320.861,324.569,328.159,332.352,335.661,338.898,342.04,345.109,348.111,351.04,353.905,356.75,359.46,362.149,364.752,367.324,369.823,372.283,374.684,377.046,379.396,381.705,383.942,386.334,388.5,390.659,392.732,394.826,396.827,398.837,400.778,402.708,404.591,406.455,408.278,410.085,411.851,413.596,415.307,416.993,418.75,420.378,421.983,423.566,425.119,426.669,428.178,429.701,431.162,432.628,434.053,435.482,436.858,438.24,439.572,440.912,442.209,443.5,444.763,446.02,447.242,448.463,449.65,450.827,451.978,453.115,454.233,455.349,456.434,457.546,458.6,459.664,460.694,461.723,462.721,463.738,464.703,465.687,466.627,467.565,468.475,469.384,470.27,471.156,472.022,472.883,473.727,474.565,475.384,476.195,476.989,477.786,478.552,479.32,480.061,480.808,481.521,482.251,482.948,483.639,484.318,485.008,485.676,486.36,487.009,487.657,488.279,488.894,489.488,490.084,490.654,491.253,491.802,492.359,492.889,493.424,493.94,494.482,494.988,495.531,496.028,496.529,497.022,497.524,497.981,498.436,498.902,499.315,499.746,500.156,500.569,500.973,501.357,501.739,502.102,502.513,502.858,503.321,503.655,503.994,504.357,504.703,505.086,505.383,505.686,506.098,506.32,506.662,506.868,507.091,507.289,507.488,507.687,508.1,508.252,508.446,508.596,508.746,508.897,510.047
cash5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105856,1.271,3.01651,5.22216,7.87017,10.9424,15.0304,20.3195,26.6023,33.5285,41.2063,51.9357,60.7775,69.7849,79.1008,88.6488,98.2969,107.955,118.171,131.639,141.446,151.565,161.542,171.219,180.56,189.775,198.719,207.064,215.171,222.769,230.067,239.56,246.25,252.652,258.776,264.651,270.387,275.942,281.254,286.656,291.472,296.085,300.495,304.752,308.892,312.906,316.814,320.601,324.321,327.852,331.261,334.732,337.951,341.102,344.168,347.172,350.105,352.992,355.838,358.631,361.334,363.991,366.581,369.126,371.599,374.031,376.405,378.74,381.206,383.466,385.665,387.894,390.008,392.153,394.197,396.246,398.223,400.209,402.127,404.036,405.897,407.738,409.539,411.325,413.07,414.793,416.485,418.152,419.795,421.406,422.993,424.563,426.098,427.637,429.131,430.623,432.071,433.525,434.933,436.357,437.723,439.077,440.395,441.721,443,444.285,445.53,446.773,447.983,449.186,450.364,451.531,452.673,453.8,454.912,456.01,457.092,458.161,459.204,460.283,461.296,462.324,463.312,464.299,465.258,466.227,467.158,468.099,469.001,469.894,470.772,471.647,472.503,473.361,474.196,475.025,475.834,476.639,477.424,478.212,478.97,479.735,480.468,481.202,481.91,482.616,483.304,484.007,484.676,485.351,486.013,486.678,487.319,487.964,488.58,489.185,489.779,490.363,490.94,491.499,492.057,492.618,493.153,493.676,494.191,494.695,495.212,495.741,496.234,496.749,497.236,497.709,498.154,498.632,499.049,499.5,499.899,500.318,500.705,501.112,501.488,501.867,502.265,502.612,503.027,503.404,503.736,504.113,504.41,504.843,505.151,505.447,505.886,506.103,506.435,506.667,506.894,507.092,507.291,507.49,507.949,508.101,508.296,508.446,508.596,508.747,508.897,510.047
cash6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566832,1.52361,3.10032,5.41976,8.3962,11.9131,15.9445,20.7757,26.8105,33.7915,41.4234,49.831,59.5204,68.8317,78.2627,87.9639,97.8556,107.797,117.69,127.93,142.202,152.07,162.104,171.903,181.362,190.456,199.294,207.829,215.855,223.729,231.024,238.034,246.504,252.782,258.794,264.55,270.078,275.462,280.678,285.704,290.693,295.311,299.731,303.963,308.054,312.034,315.896,319.659,323.314,327.151,330.565,333.868,337.387,340.526,343.613,346.617,349.556,352.435,355.267,358.038,360.807,363.437,366.037,368.557,371.043,373.455,375.841,378.161,380.453,382.698,384.927,387.095,389.273,391.365,393.501,395.519,397.563,399.516,401.47,403.367,405.257,407.095,408.92,410.701,412.467,414.193,415.898,417.572,419.221,420.842,422.435,424.005,425.555,427.073,428.591,430.066,431.558,432.99,434.418,435.81,437.22,438.562,439.923,441.228,442.531,443.804,445.065,446.305,447.535,448.737,449.928,451.094,452.242,453.37,454.485,455.579,456.698,457.759,458.825,459.858,460.889,461.894,462.919,463.896,464.888,465.838,466.781,467.704,468.63,469.52,470.412,471.28,472.142,472.99,473.833,474.658,475.482,476.282,477.073,477.848,478.639,479.387,480.14,480.863,481.593,482.289,482.996,483.675,484.353,485.015,485.7,486.351,487.01,487.642,488.274,488.881,489.491,490.07,490.656,491.213,491.798,492.338,492.873,493.392,493.928,494.425,494.944,495.447,495.945,496.456,496.939,497.434,497.892,498.365,498.787,499.237,499.667,500.073,500.49,500.875,501.258,501.614,501.988,502.363,502.756,503.14,503.478,503.866,504.167,504.47,504.919,505.206,505.674,505.892,506.214,506.463,506.696,506.895,507.093,507.293,507.799,507.951,508.146,508.296,508.446,508.597,508.747,508.897,510.047
cash7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232958,1.22697,2.58219,4.61009,7.46623,10.9523,14.9966,19.5284,24.9403,31.5782,39.1816,47.4195,56.4893,67.1929,77.1873,87.213,97.4586,107.841,118.207,128.463,138.939,152.021,161.852,171.726,181.284,190.453,199.221,207.659,215.772,223.415,231.157,238.123,244.809,252.278,258.29,264.046,269.558,274.852,280.001,284.99,289.814,294.547,299.014,303.296,307.4,311.369,315.236,318.994,322.663,326.233,329.76,333.116,336.355,339.606,342.685,345.708,348.655,351.545,354.374,357.138,359.861,362.559,365.143,367.715,370.205,372.668,375.057,377.408,379.708,381.97,384.198,386.416,388.558,390.705,392.772,394.846,396.843,398.865,400.795,402.743,404.615,406.477,408.296,410.098,411.86,413.608,415.315,416.999,418.654,420.283,421.887,423.463,425.016,426.548,428.051,429.564,431.027,432.485,433.901,435.326,436.706,438.089,439.433,440.755,442.045,443.351,444.602,445.86,447.077,448.295,449.475,450.659,451.807,452.952,454.068,455.169,456.253,457.325,458.38,459.47,460.489,461.525,462.521,463.512,464.479,465.461,466.394,467.352,468.264,469.167,470.05,470.926,471.784,472.644,473.48,474.313,475.128,475.939,476.729,477.52,478.29,479.055,479.798,480.557,481.274,481.993,482.686,483.376,484.05,484.721,485.376,486.033,486.679,487.339,487.965,488.591,489.195,489.783,490.362,490.931,491.489,492.053,492.586,493.144,493.657,494.16,494.657,495.17,495.655,496.194,496.659,497.15,497.611,498.1,498.533,498.988,499.434,499.836,500.248,500.63,501.016,501.402,501.759,502.123,502.496,502.886,503.213,503.618,503.933,504.228,504.606,504.963,505.463,505.681,506.003,506.263,506.476,506.698,506.896,507.096,507.649,507.801,507.953,508.146,508.296,508.447,508.597,508.747,508.897,510.047
cash8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743587,2.02999,3.74615,6.33861,9.71559,13.7986,18.5363,23.8285,30.0782,37.4508,45.7951,54.7104,64.4101,75.425,85.7692,96.067,106.527,117.052,127.492,137.761,148.116,160.596,170.332,180.025,189.352,198.261,206.749,214.856,222.631,229.978,237.134,243.82,250.239,257.331,263.087,268.607,273.896,278.981,283.933,288.736,293.39,297.937,302.266,306.422,310.405,314.259,318.019,321.677,325.254,328.734,332.145,335.416,338.584,341.706,344.733,347.708,350.604,353.443,356.218,358.972,361.685,364.327,366.906,369.43,371.898,374.319,376.676,378.999,381.268,383.501,385.691,387.858,389.97,392.131,394.168,396.232,398.203,400.179,402.088,404.003,405.856,407.705,409.504,411.282,413.024,414.751,416.438,418.108,419.743,421.356,422.94,424.498,426.034,427.547,429.034,430.52,431.964,433.435,434.839,436.23,437.587,438.978,440.289,441.616,442.893,444.164,445.407,446.646,447.858,449.061,450.238,451.397,452.54,453.666,454.772,455.863,456.939,458.015,459.06,460.085,461.095,462.151,463.129,464.127,465.081,466.032,466.96,467.892,468.791,469.709,470.58,471.446,472.294,473.138,473.966,474.795,475.603,476.405,477.189,477.965,478.725,479.501,480.236,480.963,481.67,482.393,483.073,483.765,484.427,485.091,485.732,486.389,487.025,487.662,488.282,488.905,489.498,490.089,490.661,491.228,491.781,492.32,492.856,493.382,493.893,494.418,494.908,495.391,495.891,496.384,496.875,497.365,497.85,498.295,498.736,499.194,499.592,500.029,500.409,500.798,501.166,501.523,501.88,502.219,502.638,502.964,503.344,503.698,503.991,504.376,504.698,505.251,505.469,505.791,506.063,506.267,506.5,506.699,506.899,507.499,507.651,507.803,507.996,508.146,508.296,508.447,508.597,508.747,508.897,510.047
cash9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391359,1.49666,3.22753,5.52795,8.63827,12.6149,17.3784,22.7841,28.7857,35.612,43.5074,52.2225,61.5021,71.6157,82.8209,93.5128,104.108,114.806,125.517,136.083,146.429,156.756,168.586,178.157,187.616,196.669,205.285,213.476,221.257,228.71,235.774,242.646,249.09,255.282,261.705,267.258,272.587,277.698,282.618,287.411,292.065,296.588,300.986,305.207,309.259,313.146,316.911,320.585,324.164,327.662,331.076,334.418,337.64,340.746,343.817,346.797,349.734,352.598,355.403,358.154,360.836,363.463,366.122,368.635,371.146,373.563,375.959,378.278,380.576,382.808,385.017,387.176,389.323,391.413,393.492,395.508,397.6,399.548,401.511,403.395,405.283,407.113,408.937,410.715,412.477,414.198,415.904,417.574,419.218,420.837,422.432,423.999,425.54,427.058,428.559,430.024,431.493,432.923,434.354,435.736,437.15,438.506,439.848,441.157,442.457,443.719,444.995,446.222,447.443,448.639,449.832,450.989,452.15,453.274,454.387,455.477,456.556,457.612,458.687,459.711,460.765,461.765,462.753,463.728,464.73,465.676,466.636,467.555,468.465,469.362,470.248,471.113,471.968,472.808,473.641,474.46,475.273,476.07,476.869,477.641,478.406,479.153,479.914,480.633,481.386,482.085,482.779,483.453,484.139,484.796,485.456,486.099,486.738,487.366,488.005,488.619,489.228,489.819,490.4,490.96,491.521,492.054,492.616,493.127,493.644,494.136,494.641,495.117,495.65,496.124,496.617,497.091,497.558,498.034,498.495,498.962,499.358,499.801,500.189,500.574,500.954,501.307,501.667,501.995,502.34,502.707,503.087,503.439,503.753,504.151,504.481,504.743,505.258,505.577,505.864,506.066,506.301,506.501,506.701,507.348,507.5,507.652,507.846,507.996,508.146,508.297,508.447,508.597,508.747,508.897,510.047
